Shift,Worker,Product Produced,Amount Produced,Working Time (Minutes)
2,210047,Mouse,24,30
2,210532,Hard Drive,24,28
2,210187,Keyboard,19,27
2,210976,Hard Drive,25,30
2,210047,Mouse,24,29
2,210187,Mouse,23,28
2,210532,Monitor,22,27
2,210976,Hard Drive,19,31
2,210047,Hard Drive,23,30
2,210187,Mouse,22,27
2,210047,Keyboard,21,26
2,210047,Keyboard,20,25
2,210532,Mouse,19,28
2,210187,Hard Drive,18,27
2,210976,Keyboard,21,29
2,210187,Hard Drive,23,27
2,210976,Mouse,24,26
2,210976,Keyboard,21,29
2,210187,Keyboard,20,28
2,210976,Mouse,19,27
2,210187,Hard Drive,18,31
2,210976,Keyboard,23,30
